"city","ac1970","ac1980","ac1985","ac1986","ac1987","ac1988","ac1989","ac1990","ac1991","ac1992","ac1993","ac1994","ac1995","ac1996","ac1997","ac1998","ac1999","ac2000","ac2001","ac2002","ac2003","ac2004","ac2005"
"akr",21.62,43.12,51.18,NA,44.01,NA,47.5,46.76,46.03,NA,57.75,NA,61.89,NA,65.27,NA,69.94,75.75,81.57,NA,77.53,NA,77.87
"albu",35.64,76.7,63.27,NA,34.53,NA,63.82,51.62,39.42,NA,42.59,NA,69.02,NA,52.28,NA,64.51,57.76,51,NA,73.13,NA,89.19
"anch",0.75,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atla",51.49,78.37,NA,NA,86.39,NA,NA,89.26,90.21,NA,NA,NA,NA,93.94,NA,NA,NA,95.69,NA,NA,NA,97.44,NA
"aust",76.34,87.33,93.86,NA,98.98,NA,98.72,99.36,100,NA,100,NA,100,NA,100,NA,100,100,100,NA,100,NA,100
"bake",35.59,65.89,79.56,NA,69.35,NA,72.26,76.97,81.68,NA,71.93,NA,89.01,NA,82.24,NA,84.71,82.81,80.91,NA,79.11,NA,86.94
"balt",45.61,63.94,77.71,NA,79.93,NA,85,86.22,87.44,NA,88.3,NA,92.57,NA,92.65,91.75,89.01,91.1,93.18,NA,92.73,NA,95.06
"batr",63.78,86.62,97.07,NA,96.73,NA,98.67,99.34,100,NA,100,NA,98.28,NA,96.14,NA,98.61,98.74,98.87,NA,100,NA,93.09
"birm",40.08,68.68,85.63,NA,90.08,86.42,91.48,90.58,89.69,90.6,90.61,NA,94.17,NA,97.03,96.64,98.99,98.61,98.23,NA,97.94,NA,99.19
"bost",23.59,42.81,51.88,NA,55.53,NA,62.76,64.24,65.72,NA,63.93,NA,64.61,NA,64.93,NA,73.05,75.09,77.14,NA,77.06,NA,80.48
"buff",12.73,21.36,NA,NA,NA,27.39,NA,30.04,NA,NA,NA,35.33,NA,NA,NA,NA,NA,46.5,NA,50.23,NA,NA,NA
"cdrp",39.09,68.63,NA,NA,NA,NA,NA,92.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.78,NA,NA,NA,NA,NA
"char",50.96,76.34,NA,NA,NA,NA,NA,88.56,NA,NA,NA,NA,94.67,NA,NA,NA,NA,96.97,NA,97.89,NA,NA,NA
"chic",46.6,69.65,73.14,NA,73.78,NA,74.52,75.69,76.85,NA,77,NA,83.8,NA,84.86,NA,86.14,86.76,87.37,NA,89.74,NA,91.64
"cinc",39.1,65.15,74.35,77.96,79.58,NA,85.2,85.7,87.91,NA,87.83,NA,87.88,NA,90.46,91.54,91.77,92.96,94.14,NA,92.71,NA,96.16
"clev",25.2,47.04,48.36,NA,54.23,60.22,58.97,59.65,60.33,62.01,63.58,NA,67.85,68.83,67.04,NA,75.24,75.32,75.41,NA,76.35,79.8,80.3
"colo",9.05,19.9,NA,NA,NA,NA,NA,41.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.31,NA,NA,NA,NA,NA
"clmo",36.13,60.64,71.56,NA,72.31,NA,81,80.37,79.73,NA,83.3,NA,84.97,NA,88.92,NA,91.34,90.43,89.53,92.65,90.9,NA,95.73
"corp",58.01,72.59,NA,NA,NA,NA,NA,90.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.73,NA,NA,NA,NA,NA
"dlft",83.45,92.76,96.69,NA,NA,NA,NA,97.92,NA,NA,NA,98.9,NA,NA,NA,NA,NA,99.32,NA,99.46,NA,NA,NA
"dayt",39.75,64.33,NA,NA,NA,NA,NA,85.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.96,NA,NA,NA,NA,NA
"denv",17.9,33.76,45.59,39.99,42.08,NA,38.38,41.01,38.81,NA,44.12,NA,39.66,NA,45.5,NA,49.5,56.31,63.13,NA,50.54,66.97,60.43
"desm",54.64,78.02,78.54,NA,83.73,NA,90.09,92.07,94.06,NA,87.88,NA,96.89,NA,97.21,NA,93.24,96.62,100,NA,100,NA,94.15
"det",27.77,48.56,51.55,NA,59.57,NA,64.16,65.41,66.67,NA,67.22,NA,76.27,NA,75.28,NA,80.42,82.26,84.09,NA,84.44,NA,87.07
"elpa",70.85,88.89,18.05,NA,20.61,NA,91.37,93.39,95.41,NA,97.39,NA,97.47,NA,56.6,NA,70.17,85.08,100,NA,97.17,NA,96.38
"evan",59.22,81.69,NA,NA,NA,NA,NA,88.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.74,NA,NA,NA,NA,NA
"ftwa",32.71,56.17,NA,NA,NA,NA,NA,88.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.74,NA,NA,NA,NA,NA
"fres",46.98,76.43,86.4,NA,91.47,NA,84.98,85.17,85.37,NA,87.8,NA,85.38,NA,89.91,NA,87.85,90.02,92.19,NA,92.36,NA,87.64
"gdrp",16.69,32.62,41.81,NA,51.8,NA,60.75,61.3,61.84,NA,73.62,NA,69.92,NA,69.2,NA,76.67,80.38,84.09,NA,80.72,NA,80.43
"grnb",40.24,69.48,88.45,NA,89.34,NA,92.35,92.27,92.19,NA,95.86,NA,97.41,NA,95.64,NA,95.95,96.81,97.68,NA,94.31,NA,96.41
"hono",13.51,21.07,21.13,NA,21.29,NA,25.37,24.25,23.13,NA,26.83,NA,35.21,NA,46.39,NA,41.64,45.61,49.58,NA,56.04,NA,53.46
"hous",79.37,91.93,93.43,NA,94.08,NA,95.03,95.21,95.38,NA,95.4,NA,98.14,NA,97.65,98.02,99.38,99.06,98.73,NA,99.74,NA,99.41
"indi",43.32,67.86,81.81,NA,79.71,83.24,86.67,88.93,91.19,87.7,89.77,NA,94.05,92.12,92.92,NA,94.25,94.74,95.23,NA,95.78,96.45,97.42
"jckv",56.53,77.89,91.07,NA,92.29,NA,90.88,93.77,96.65,NA,97.45,NA,100,NA,96.63,NA,98.07,97.56,97.06,NA,96.83,NA,98.92
"jers",42.43,59.3,63.06,NA,64.55,NA,58.14,66.39,74.64,NA,74.28,NA,75.57,NA,78.23,NA,72.16,74.17,76.18,NA,82.8,NA,76.83
"kans",61.92,79.56,NA,87.1,NA,NA,NA,92.18,NA,NA,NA,NA,94.3,NA,NA,NA,NA,96.78,NA,97.77,NA,NA,NA
"knox",48.54,73.96,92.99,NA,85.96,NA,96.52,98.26,100,NA,96.95,NA,94.22,NA,95.61,NA,98.25,99.13,100,NA,100,NA,100
"lafy",69.32,89.84,NA,NA,NA,NA,NA,90.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.13,NA,NA,NA,NA,NA
"lkch",66.89,87.62,NA,NA,NA,NA,NA,90.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.13,NA,NA,NA,NA,NA
"lasv",74.49,94.73,96.72,NA,94.26,NA,96.79,93.22,89.64,NA,95.42,NA,97.29,NA,97.58,NA,95.14,96.81,98.48,NA,97.62,NA,97.71
"ltrk",69.14,86.41,92.81,NA,89.92,NA,95.86,95.69,95.53,NA,97.87,NA,97.87,NA,98.22,NA,97.8,98.9,100,NA,100,NA,100
"la",27.44,40.57,51.27,NA,51.42,NA,51.1,51.94,52.77,NA,54.02,NA,52.88,NA,54.77,NA,56.18,55.79,55.41,NA,55.64,NA,58.61
"loui",51.62,79.38,NA,NA,NA,NA,NA,85.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.96,NA,NA,NA,NA,NA
"madi",36.38,53.54,52,NA,50.59,NA,58.55,60.59,62.63,NA,60.22,NA,79.09,NA,71.26,NA,77.84,79.53,81.22,NA,88.48,NA,80.48
"memp",75.23,88.88,96.65,NA,95.91,96.16,97.95,96.95,95.95,96.83,95.85,NA,96.59,98.2,98.33,NA,99.3,99.04,98.77,NA,98.14,98.89,97.21
"miam",53.78,88.39,NA,90.19,NA,NA,NA,93.24,NA,NA,NA,NA,95.22,NA,NA,NA,NA,97.05,NA,97.79,NA,NA,NA
"milw",29.85,49.75,NA,NA,NA,65.72,NA,67.09,NA,NA,NA,69.84,NA,NA,NA,NA,NA,81.06,NA,84.81,NA,NA,NA
"minn",43.56,63.7,69.48,NA,77.05,NA,81.65,82.93,84.2,NA,80.3,NA,85.47,NA,83.53,85.39,88.89,89.43,89.97,NA,93.75,NA,90.7
"mobi",63.14,79.89,96.61,NA,94.33,NA,94.59,97.3,100,NA,95.38,NA,97.8,NA,97.78,NA,100,98.4,96.8,NA,100,NA,100
"mode",57.21,81.17,NA,NA,NA,NA,NA,32.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.89,NA,NA,NA,NA,NA
"musk",7.96,15.34,NA,NA,NA,NA,NA,65.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.26,NA,NA,NA,NA,NA
"nash",76.96,89.36,95.22,NA,96.75,NA,98.25,98.62,98.99,NA,99.56,NA,98,NA,98.59,NA,99.22,99.18,99.14,NA,100,NA,100
"no",72.59,87.04,NA,NA,NA,NA,NA,90.1,NA,NA,NA,NA,94.3,NA,NA,NA,NA,95.13,NA,NA,NA,95.8,NA
"ny",38.67,48.2,55.3,NA,56.56,NA,61.1,61.96,62.83,NA,65.13,NA,66.73,NA,66.89,NA,73.71,75.86,78.02,NA,83.16,NA,82.83
"nwk",41.81,57.96,63.17,NA,72.84,NA,72.11,73.56,75.01,NA,74.04,NA,77.63,NA,78.47,NA,84.78,85.4,86.03,NA,92.43,NA,90.66
"nor",56.99,79.51,85.39,NA,87.81,92.16,89,90.09,91.19,94.95,94.85,NA,97.89,NA,97.09,96.6,95.75,96.74,97.73,NA,97.45,NA,98.13
"okla",15.21,29.51,28.12,NA,28.17,NA,32.2,33.07,33.95,NA,31.84,NA,33.33,NA,35.16,42.34,36.09,34.66,33.23,NA,37.37,NA,37.24
"oakl",75.03,89.27,95.95,NA,94.5,94.9,95.33,94.93,94.53,96.28,98.5,NA,97.12,97.67,96.65,NA,98.54,98.93,99.32,NA,98.32,98.64,96.63
"oma",68.14,84.56,94.5,NA,96.78,NA,96.44,95.33,94.21,NA,95.93,NA,96.89,NA,98.95,NA,97.72,98.86,100,NA,100,NA,100
"orla",60.97,85.55,92.34,NA,92.14,NA,93.15,93.32,93.49,NA,94.06,NA,94.73,NA,97.29,NA,97.58,98.37,99.16,NA,98.55,NA,100
"phil",54.04,67.92,70.87,NA,76.64,NA,79.86,79.84,79.82,NA,82.7,NA,84.34,NA,88.14,NA,90.84,91.29,91.73,NA,93.24,NA,91.85
"phoe",71.3,84.6,88.46,NA,NA,NA,90.59,90.33,NA,NA,NA,89.29,NA,NA,NA,NA,NA,93.42,NA,94.79,NA,NA,NA
"pitt",23.07,38.82,NA,47.58,NA,NA,NA,58.06,NA,NA,NA,NA,70.56,NA,NA,NA,NA,77.42,NA,NA,NA,82.92,NA
"port",8.98,17.11,NA,23.28,NA,NA,NA,28.08,NA,NA,NA,NA,34.71,NA,NA,NA,NA,41.51,NA,44.23,NA,NA,NA
"prov",15.88,36.33,39.36,NA,39.83,49.3,49.19,51.23,53.27,51.04,58.12,NA,56.24,NA,60.19,58.93,67.74,67.05,66.37,NA,73.35,NA,86.13
"ral",58.59,82.46,90.36,NA,90.23,NA,86.79,90.43,94.08,NA,97.45,NA,97.75,NA,97.03,NA,97.51,97.28,97.04,NA,94.98,NA,98.78
"rich",61.37,78.35,NA,NA,NA,NA,NA,90.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.74,NA,NA,NA,NA,NA
"rive",57.96,72.22,78.41,72.75,83.65,NA,82.7,82.35,86.49,NA,82.72,80.31,84.56,NA,83.08,NA,87.67,89.05,90.43,NA,87.16,NA,92.17
"roch",22.66,36.64,NA,42.24,NA,NA,NA,50.02,NA,NA,NA,NA,NA,NA,NA,60.38,NA,60.38,NA,NA,NA,NA,NA
"sacr",66.89,85.7,91.7,NA,89.76,NA,91.03,92.02,93,NA,91.47,NA,89.32,90.32,94.95,NA,94.65,93.97,93.29,NA,94.84,92.81,96.57
"salt",30.53,56.5,47.64,NA,60.82,41.39,51.99,46.67,41.36,41.14,37.53,NA,43.08,NA,35.62,54.37,52.02,53.61,55.2,NA,51.48,NA,70.14
"sana",64.07,77.93,81.98,84.79,79.32,NA,86.05,90.84,93.21,NA,90.13,NA,94.61,NA,95.53,NA,95.31,96.73,98.15,NA,97.39,97.7,97.49
"sand",12.23,25.26,32.63,NA,32.38,NA,34.29,35.93,37.58,NA,37.55,38.56,38.89,NA,36.49,NA,40.18,42.74,45.3,44.58,45.86,NA,47.65
"sanf",2.62,3.7,6.25,NA,7.08,NA,7.52,7.34,7.15,NA,6.53,NA,9.86,NA,7.34,11.19,8.54,8.96,9.38,NA,16.81,NA,9.88
"sanj",8.52,21.49,29.27,NA,30.36,29.15,30.48,32.19,33.91,NA,31.74,NA,33.68,NA,39.57,40.78,43.93,44.89,45.85,NA,48.56,NA,50.55
"seat",3.93,3.77,6.11,NA,6.78,NA,4.28,5.47,6.66,NA,6.83,NA,11.63,10.25,7.34,NA,7.75,9.12,10.48,NA,10.44,15.26,13.1
"spok",10.52,29.9,45.03,NA,43.92,NA,41.2,42.29,43.38,NA,49.89,NA,53.72,NA,48.2,NA,53.29,59.95,66.61,NA,57.7,NA,77.88
"stlo",58.33,78.43,88.8,NA,90.18,NA,92.73,93.05,93.38,NA,93.64,NA,96.59,96.32,95.26,NA,97.71,97.51,97.3,NA,97.25,98.73,97.06
"stpe",66.15,88.82,NA,NA,NA,NA,93.8,94.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.75,NA,NA,NA,NA,NA
"stoc",56.7,80.76,88.76,NA,82.32,NA,81.73,84.72,87.72,NA,89.47,NA,85.89,NA,86.88,NA,87.04,88.48,89.93,NA,94.87,NA,91.42
"taco",3.53,3.94,2.65,NA,9.05,NA,7.98,9.86,11.74,NA,8.3,NA,8.62,NA,7.74,NA,7.33,8.01,8.7,NA,16.7,NA,21.89
"tamp",53.31,80.37,90.69,NA,94.32,NA,93.8,94.51,95.22,NA,96.39,NA,97.68,NA,99.63,98.1,98.22,98.75,99.28,NA,98.39,NA,99.63
"tole",25.53,50.76,54.12,NA,64.85,NA,67.33,72.98,78.63,NA,78.23,NA,80.76,NA,80,NA,88.45,85.66,82.88,NA,85.72,NA,86.07
"tope",69.52,84.3,NA,NA,NA,NA,NA,92.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.78,NA,NA,NA,NA,NA
"tucs",36.21,61.76,60.32,NA,53.91,NA,52.12,48.7,45.28,NA,50.36,NA,62.89,NA,69.09,NA,70,69.39,68.78,NA,67.41,NA,81.99
"tuls",72.64,88.88,93.81,NA,92.6,NA,92.78,94.22,95.66,NA,95.59,NA,95.24,NA,98.24,NA,98.34,98.39,98.44,NA,98.66,NA,96.7
"dc",62.76,76.27,NA,NA,NA,NA,91.5,92.15,NA,NA,94.1,NA,NA,NA,NA,96,NA,96,NA,NA,NA,NA,NA
"wich",74.18,87.27,94.11,NA,96.18,NA,90.31,90.63,90.95,NA,94.11,NA,92.52,NA,98.34,NA,96.79,97.12,97.45,NA,98.48,NA,100
"wor",12.81,27.6,34.28,NA,31.08,NA,57.97,55.34,52.71,NA,52.72,NA,53.75,NA,48.41,NA,65.73,70.48,75.23,NA,74.09,NA,84.4
